2026-01-02 20:18:16,10.136.179.190,8e-d7-20-45-2b-fd,Unknown,UNKNOWN
2026-01-02 20:18:16,10.136.179.255,ff-ff-ff-ff-ff-ff,Unknown,UNKNOWN
2026-01-02 20:18:16,224.0.0.22,01-00-5e-00-00-16,igmp.mcast.net,UNKNOWN
2026-01-02 20:18:16,224.0.0.251,01-00-5e-00-00-fb,mdns.mcast.net,UNKNOWN
2026-01-02 20:18:16,224.0.0.252,01-00-5e-00-00-fc,Unknown,UNKNOWN
2026-01-02 20:18:16,255.255.255.255,ff-ff-ff-ff-ff-ff,Unknown,UNKNOWN
2026-01-02 20:18:45,10.136.179.190,8e-d7-20-45-2b-fd,Unknown,UNKNOWN
2026-01-02 20:18:45,10.136.179.255,ff-ff-ff-ff-ff-ff,Unknown,UNKNOWN
2026-01-02 20:18:45,224.0.0.22,01-00-5e-00-00-16,igmp.mcast.net,UNKNOWN
2026-01-02 20:18:45,224.0.0.251,01-00-5e-00-00-fb,mdns.mcast.net,UNKNOWN
2026-01-02 20:18:45,224.0.0.252,01-00-5e-00-00-fc,Unknown,UNKNOWN
2026-01-02 20:18:45,255.255.255.255,ff-ff-ff-ff-ff-ff,Unknown,UNKNOWN
